Mode,SleepTime,PrivateTimer,DSO,,
usleep,0.000001,1.43E-06,1.46E-06,,
usleep,0.000001,1.41E-06,1.44E-06,,
usleep,0.000001,1.41E-06,1.44E-06,,
usleep,0.000001,1.40E-06,1.44E-06,,
usleep,0.000001,1.41E-06,1.46E-06,,
usleep,0.000001,1.42E-06,1.44E-06,,
usleep,0.000001,1.39E-06,1.44E-06,,
usleep,0.000001,1.40E-06,1.44E-06,,
usleep,0.000001,1.39E-06,1.44E-06,,
usleep,0.000001,1.38E-06,1.44E-06,,
usleep,0.00001,1.04E-05,1.05E-05,,
usleep,0.00001,1.05E-05,1.05E-05,,
usleep,0.00001,1.04E-05,1.06E-05,,
usleep,0.00001,1.04E-05,1.04E-05,,
usleep,0.00001,1.05E-05,1.05E-05,,
usleep,0.00001,1.04E-05,1.05E-05,,
usleep,0.00001,1.04E-05,1.05E-05,,
usleep,0.00001,1.04E-05,1.05E-05,,
usleep,0.00001,1.05E-05,1.04E-05,,
usleep,0.00001,1.04E-05,1.06E-05,,
usleep,0.0001,0.000100415,0.000101,,
usleep,0.0001,0.000100431,0.000101,,
usleep,0.0001,0.00010044,0.000101,,
usleep,0.0001,0.000100443,0.000101,,
usleep,0.0001,0.000100443,0.0001,,
usleep,0.0001,0.000100397,0.0001,,
usleep,0.0001,0.000100428,0.0001,,
usleep,0.0001,0.000100462,0.0001,,
usleep,0.0001,0.000100434,0.0001,,
usleep,0.0001,0.000100455,0.000101,,
usleep,0.001,0.001000422,0.001,,
usleep,0.001,0.001000425,0.001,,
usleep,0.001,0.0010004,0.001,,
usleep,0.001,0.00100044,0.001,,
usleep,0.001,0.001000428,0.001,,
usleep,0.001,0.001000418,0.00101,,
usleep,0.001,0.001000437,0.001,,
usleep,0.001,0.001000434,0.001,,
usleep,0.001,0.001000437,0.001,,
usleep,0.001,0.001000412,0.001,,
usleep,0.01,0.010000415,0.01,,
usleep,0.01,0.010000446,0.01,,
usleep,0.01,0.010000409,0.01,,
usleep,0.01,0.010000431,0.01,,
usleep,0.01,0.010000422,0.01,,
usleep,0.01,0.010000437,0.01,,
usleep,0.01,0.010000422,0.01,,
usleep,0.01,0.01000044,0.01,,
usleep,0.01,0.010000428,0.01,,
usleep,0.01,0.010000437,0.01,,
usleep,0.1,0.100000443,0.094,,
usleep,0.1,0.100000468,0.093,,
usleep,0.1,0.100000462,0.094,,
usleep,0.1,0.100000412,0.093,,
usleep,0.1,0.100000474,0.094,,
usleep,0.1,0.100000446,0.093,,
usleep,0.1,0.100000431,0.094,,
usleep,0.1,0.100000462,0.093,,
usleep,0.1,0.100000462,0.094,,
usleep,0.1,0.100000455,0.094,,
usleep,0.000005,5.38E-06,5.45E-06,,
usleep,0.000005,5.40E-06,5.45E-06,,
usleep,0.000005,5.40E-06,5.45E-06,,
usleep,0.000005,5.39E-06,5.45E-06,,
usleep,0.000005,5.39E-06,5.45E-06,,
usleep,0.000005,5.40E-06,5.40E-06,,
usleep,0.000005,5.40E-06,5.45E-06,,
usleep,0.000005,5.39E-06,5.45E-06,,
usleep,0.000005,5.40E-06,5.45E-06,,
usleep,0.000005,5.39E-06,5.40E-06,,
usleep,0.000015,1.55E-05,1.55E-05,,
usleep,0.000015,1.55E-05,1.55E-05,,
usleep,0.000015,1.55E-05,1.56E-05,,
usleep,0.000015,1.55E-05,1.56E-05,,
usleep,0.000015,1.55E-05,1.55E-05,,
usleep,0.000015,1.55E-05,1.56E-05,,
usleep,0.000015,1.55E-05,1.55E-05,,
usleep,0.000015,1.55E-05,1.55E-05,,
usleep,0.000015,1.55E-05,1.55E-05,,
usleep,0.000015,1.55E-05,1.55E-05,,
usleep,0.00002,2.04E-05,2.04E-05,,
usleep,0.00002,2.05E-05,2.06E-05,,
usleep,0.00002,2.04E-05,2.06E-05,,
usleep,0.00002,2.04E-05,2.02E-05,,
usleep,0.00002,2.05E-05,2.04E-05,,
usleep,0.00002,2.05E-05,2.06E-05,,
usleep,0.00002,2.04E-05,2.04E-05,,
usleep,0.00002,2.05E-05,2.04E-05,,
usleep,0.00002,2.04E-05,2.04E-05,,
usleep,0.00002,2.04E-05,2.04E-05,,
usleep,0.00125,0.001250458,0.00126,,
usleep,0.00125,0.001250462,0.00124,,
usleep,0.00125,0.001250425,0.00126,,
usleep,0.00125,0.001250458,0.00126,,
usleep,0.00125,0.001250452,0.00124,,
usleep,0.00125,0.001250446,0.00126,,
usleep,0.00125,0.001250477,0.00124,,
usleep,0.00125,0.001250474,0.00124,,
usleep,0.00125,0.001250406,0.00126,,
usleep,0.00125,0.001250468,0.00126,,
sleep,10,10.00000046,9.900001,,
sleep,10,10.00000046,9.900001,,
sleep,10,10.00000046,9.900001,,
sleep,10,10.00000045,9.900001,,
sleep,10,10.00000046,9.900001,,
sleep,10,10.00000044,9.900001,,
sleep,10,10.00000048,9.900001,,
sleep,10,10.00000047,9.900001,,
sleep,10,10.00000044,9.900001,,
sleep,10,10.00000045,9.900001,,
sleep,1,1.000000455,0.9899999,,
sleep,1,1.000000452,0.9899999,,
sleep,1,1.000000458,0.9899999,,
sleep,1,1.000000431,0.9899999,,
sleep,1,1.00000044,0.9899999,,
sleep,1,1.000000458,0.9899999,,
sleep,1,1.000000458,0.9899999,,
sleep,1,1.000000458,0.9899999,,
sleep,1,1.000000412,0.9899999,,
sleep,1,1.000000446,0.9899999,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,20,13.21528398,19.8,,
sleep,5,5.000000422,4.95,,
sleep,5,5.000000406,4.95,,
sleep,5,5.00000048,4.95,,
sleep,5,5.000000437,4.95,,
sleep,5,5.000000443,4.95,,
sleep,5,5.000000446,4.95,,
sleep,5,5.000000443,4.95,,
sleep,5,5.00000044,4.95,,
sleep,5,5.000000449,4.95,,
sleep,5,5.000000443,4.95,,
sleep,13,13.00000041,12.95,,
sleep,13,13.00000044,12.95,,
sleep,13,13.00000043,12.95,,
sleep,13,13.00000043,12.95,,
sleep,13,13.00000042,12.95,,
sleep,13,13.0000004,12.95,,
sleep,13,13.00000041,12.95,,
sleep,13,13.0000004,12.95,,
sleep,13,13.00000043,12.95,,
sleep,13,13.00000041,12.95,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,30,13.21528398,29.8,,
sleep,7,7.000000418,6.95,,
sleep,7,7.000000418,7,,
sleep,7,7.000000434,7,,
sleep,7,7.000000385,6.95,,
sleep,7,7.00000044,6.95,,
sleep,7,7.000000418,6.95,,
sleep,7,7.000000437,6.95,,
sleep,7,7.000000382,6.95,,
sleep,7,7.000000434,6.95,,
sleep,7,7.000000406,6.95,,
sleep,2,2.000000412,1.98,,
sleep,2,2.000000409,1.98,,
sleep,2,2.000000394,1.98,,
sleep,2,2.000000406,1.98,,
sleep,2,2.000000409,1.98,,
sleep,2,2.000000375,1.98,,
sleep,2,2.000000406,1.98,,
sleep,2,2.000000412,1.98,,
sleep,2,2.000000378,1.98,,
sleep,2,2.000000406,1.98,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,40,13.21528398,39.8,,
sleep,3,3.000000474,2.98,,
sleep,3,3.000000446,2.98,,
sleep,3,3.000000446,2.98,,
sleep,3,3.000000428,2.89,,
sleep,3,3.000000418,2.98,,
sleep,3,3.000000449,2.98,,
sleep,3,3.000000428,2.98,,
sleep,3,3.000000428,2.98,,
sleep,3,3.000000455,2.98,,
sleep,3,3.000000455,2.98,,
,,,,,
